,yrmts,ppt
916,1971feb,1.539999962
917,1971jan,2.470000029
918,1971jul,14.21000004
919,1971jun,10.46000004
920,1971mar,2.039999962
921,1971may,7.519999981
922,1971nov,2.910000086
923,1971oct,5.929999828
924,1971sep,11.03999996
925,1972apr,4.699999809
926,1972aug,13.71000004
927,1972dec,0.349999994
928,1972feb,3.25
929,1972jan,0.100000001
930,1972jul,13.94999981
931,1972jun,11.56000042
932,1972mar,5.119999886
933,1972may,8.56000042
934,1972nov,4.179999828
935,1972oct,9.109999657
936,1972sep,10.27999973
937,1973apr,6.679999828
938,1973aug,12.59000015
939,1973dec,3.819999933
940,1973feb,4.440000057
941,1973jan,1.320000052
942,1973jul,14.68000031
943,1973jun,13.40999985
944,1973mar,2.529999971
945,1973may,10.56000042
946,1973nov,5.300000191
947,1973oct,8.31000042
948,1973sep,11.77999973
949,1974apr,4.519999981
950,1974aug,13.86999989
951,1974dec,2.690000057
952,1974feb,0.819999993
953,1974jan,1.179999948
954,1974jul,14.57999992
955,1974jun,12.06999969
956,1974mar,4.300000191
957,1974may,8.180000305
958,1974nov,4.380000114
959,1974oct,9.850000381
960,1974sep,13.14000034
961,1975apr,3.119999886
962,1975aug,13.14999962
963,1975dec,2.210000038
964,1975feb,2.089999914
965,1975jan,1.5
966,1975jul,13.52000046
967,1975jun,11.56000042
968,1975mar,3.579999924
969,1975may,9.239999771
970,1975nov,3.519999981
971,1975oct,8.390000343
972,1975sep,12.46000004
973,1976apr,4.070000172
974,1976aug,13.71000004
975,1976dec,-0.239999995
976,1976feb,1.980000019
977,1976jan,1.230000019
978,1976jul,14.93999958
979,1976jun,11.97000027
980,1976mar,1.940000057
981,1976may,9.579999924
982,1976nov,7.010000229
983,1976oct,9.56000042
984,1976sep,12.93999958
985,1977apr,6.25
986,1977aug,13.81000042
987,1977dec,5.03000021
988,1977feb,3.730000019
989,1977jan,1.470000029
990,1977jul,13.72000027
991,1977jun,13.72999954
992,1977mar,2.640000105
993,1977may,6.760000229
994,1977nov,5.300000191
995,1977oct,9.569999695
996,1977sep,12.27000046
997,1978apr,5.199999809
998,1978aug,15.10999966
999,1978dec,0.620000005
1000,1978feb,4.369999886
1001,1978jan,5.019999981
1002,1978jul,14.93999958
1003,1978jun,11.68000031
1004,1978mar,6.769999981
1005,1978may,9.93999958
1006,1978nov,2.960000038
1007,1978oct,10.38000011
1008,1978sep,12.72000027
1009,1979apr,5.369999886
1010,1979aug,13.25
1011,1979dec,3.349999905
1012,1979feb,2.289999962
1013,1979jan,2
1014,1979jul,15.13000011
1015,1979jun,12.14999962
1016,1979mar,4.96999979
1017,1979may,10.51000023
1018,1979nov,4.320000172
1019,1979oct,9.279999733
1020,1979sep,13.25
1021,1980apr,5.630000114
1022,1980aug,12.52000046
1023,1980dec,2.99000001
1024,1980feb,4.760000229
1025,1980jan,2.789999962
1026,1980jul,14.28999996
1027,1980jun,8.75
1028,1980mar,2.569999933
1029,1980may,7.380000114
1030,1980nov,5.119999886
1031,1980oct,9.409999847
1032,1980sep,11.07999992
1033,1981apr,6.639999866
1034,1981aug,14.39000034
1035,1981dec,4.789999962
1036,1981feb,4.039999962
1037,1981jan,4.25
1038,1981jul,14.43000031
1039,1981jun,15.22000027
1040,1981mar,4.309999943
1041,1981may,10.22999954
1042,1981nov,6.940000057
1043,1981oct,7.960000038
1044,1981sep,12.80000019
1045,1982apr,4.639999866
1046,1982aug,13.68000031
1047,1982dec,2.579999924
1048,1982feb,3.25
1049,1982jan,0.610000014
1050,1982jul,13.26000023
1051,1982jun,10.56999969
1052,1982mar,2.569999933
1053,1982may,8.93999958
1054,1982nov,3.480000019
