,yrmts,ppt
1023,1980sep,1.870000005
1024,1981apr,112.3000031
1025,1981aug,0
1026,1981dec,25.70000076
1027,1981feb,38.79999924
1028,1981jan,26.89999962
1029,1981jul,1.220000029
1030,1981jun,0
1031,1981mar,66.30000305
1032,1981may,94.23999786
1033,1981nov,38.09999847
1034,1981oct,73
1035,1981sep,15.63000011
1036,1982apr,97.5
1037,1982aug,0.879999995
1038,1982dec,21.04999924
1039,1982feb,36.59000015
1040,1982jan,14.64999962
1041,1982jul,2.869999886
1042,1982jun,21.62000084
1043,1982mar,54.56999969
1044,1982may,162.6999969
1045,1982nov,32.43000031
1046,1982oct,74.59999847
1047,1982sep,44.95000076
1048,1983apr,92.30000305
1049,1983aug,21.20000076
1050,1983dec,25.10000038
1051,1983feb,37.59999847
1052,1983jan,24.81999969
1053,1983jul,0.879999995
1054,1983jun,43.18000031
1055,1983mar,64.19999695
1056,1983may,154.1999969
1057,1983nov,33.59999847
1058,1983oct,32.29000092
1059,1983sep,12.72000027
1060,1984apr,101.5999985
1061,1984aug,7.510000229
1062,1984dec,16.19000053
1063,1984feb,31.07999992
1064,1984jan,26.84000015
1065,1984jul,0.769999981
1066,1984jun,6.340000153
1067,1984mar,74.90000153
1068,1984may,85.98999786
1069,1984nov,33
1070,1984oct,52.27999878
1071,1984sep,2.49000001
1072,1985apr,118.8000031
1073,1985aug,1.080000043
1074,1985dec,22.54999924
1075,1985feb,37.06000137
1076,1985jan,18.63999939
1077,1985jul,2.269999981
1078,1985jun,0.550000012
1079,1985mar,51.31999969
1080,1985may,64.51000214
1081,1985nov,29.59000015
1082,1985oct,33.54999924
1083,1985sep,38.47999954
1084,1986apr,107
1085,1986aug,0
1086,1986dec,21.45999908
1087,1986feb,39.29999924
1088,1986jan,27.70000076
1089,1986jul,0
1090,1986jun,0.680000007
1091,1986mar,75.59999847
1092,1986may,103.3899994
1093,1986nov,2.269999981
1094,1986oct,10.27999973
1095,1986sep,53.70000076
1096,1987apr,119
1097,1987aug,0
1098,1987dec,24.29999924
1099,1987feb,34.40000153
1100,1987jan,17.40999985
1101,1987jul,0.360000014
1102,1987jun,1.00999999
1103,1987mar,62.95000076
1104,1987may,68.19000244
1105,1987nov,36.40000153
1106,1987oct,39.18999863
1107,1987sep,0.370000005
1108,1988apr,109.9000015
1109,1988aug,0.039999999
1110,1988dec,24.37999916
1111,1988feb,39.61999893
1112,1988jan,24.44000053
1113,1988jul,0
1114,1988jun,13.31999969
1115,1988mar,75.59999847
