"Species_Name","Serpentine","SAI_Index1","SAI_Index2","SAI","SAI_RelAb"
"Trifolium bifidum","S",40,56.6393958464443,48.3196979232222,73.8857917027837
"Trifolium ciliolatum","S",NA,79.646017699115,NA,65.1080924764394
"Trifolium depauperatum","N",58.3333333333333,91.4634146341463,74.8983739837398,96.637185688967
"Trifolium depauperatum","S",NA,NA,NA,0
"Trifolium dubium","N",75,90.8946322067594,82.9473161033797,93.7474702996754
"Trifolium dubium","S",NA,30.7167235494881,NA,50.6018513701639
"Trifolium fucatum","N",75,65.2962515114873,70.1481257557436,69.6133666041368
"Trifolium fucatum","S",47.9166666666667,31.3755210306934,39.6460938486801,46.3580623331472
"Trifolium gracilentum","N",49.1978609625668,64.3358461138549,56.7668535382109,78.8638150512819
"Trifolium gracilentum","S",52.5,60.5117565698479,56.5058782849239,71.544673136623
"Trifolium hirtum","N",42.8485576923077,35.4785055357313,39.1635316140195,53.7012958907262
"Trifolium hirtum","S",38.1818181818182,83.5913312693499,60.886574725584,84.5679708652753
"Trifolium microcephalum","N",75.7142857142857,81.3428018076178,78.5285437609518,91.2143903554323
"Trifolium microcephalum","S",100,55.6701030927835,77.8350515463918,51.2853282918433
"Trifolium microdon","N",53.3333333333333,47.2222222222222,50.2777777777778,66.8447634509504
"Trifolium microdon","S",NA,96.8485780169101,NA,95.7823826945407
"Trifolium variegatum","S",NA,NA,NA,0
"Trifolium willdenovii","N",25,66.4206642066421,45.710332103321,75.9535910176032
"Trifolium willdenovii","S",25,35.0194552529183,30.0097276264591,57.8597988213436
"Triphysaria eriantha","N",0,NA,NA,0
"Triphysaria eriantha","S",0,NA,NA,0
"Triteleia hyacinthina","S",0,NA,NA,0
"Triteleia laxa","N",0,NA,NA,0
"Triteleia laxa","S",NA,NA,NA,0
"Uropappus lindleyi","N",NA,NA,NA,0
"Velezia rigida","N",50,74.3232910230922,62.1616455115461,44.542999068098
"Velezia rigida","S",NA,NA,NA,0
"Vicia villosa","N",34.5911949685535,13.3836397601023,23.9874173643279,32.2780530024651
"Vicia villosa","S",30,7.33197556008147,18.6659877800407,29.1221616736182
"Viola douglasii","S",20,7.83289817232376,13.9164490861619,17.7581772563329
"Vulpia microstachys","N",56.1381074168798,73.3883346124328,64.7632210146563,74.263565646509
"Vulpia microstachys","S",51.5607580824972,65.0992086248423,58.3299833536698,76.6101186527044
"Vulpia myuros","N",67.0243902439024,75.8700520898865,71.4472211668945,74.5798052442067
"Vulpia myuros","S",86.9565217391304,73.74749498998,80.3520083645552,69.938752220376
"Wyethia glabra","N",0,NA,NA,0
"Wyethia glabra","S",0,NA,NA,0
"Zigadenus fremontii","N",0,NA,NA,0
"Zigadenus fremontii","S",0,NA,NA,0
