"ID","calFullname","jepFullname","Family","genus","species","suffix","SerpScore","StrongEndemic","Tolerators","WeakEndemic","Name"
3804,"Oxalis albicans Kunth","Oxalis albicans Kunth","OXALIDACEAE","Oxalis","albicans",,0.00,0.00,0.00,0.00,"Oxalis albicans "
3805,"Oxalis albicans Kunth ssp. californica (Abrams) Eiten","Oxalis albicans Kunth subsp. californica (Abrams) Eiten","OXALIDACEAE","Oxalis","albicans","ssp. californica",0.00,0.00,0.00,0.00,"Oxalis albicans ssp. californica"
3806,"Oxalis albicans Kunth ssp. pilosa (Nutt.) Eiten","Oxalis albicans Kunth subsp. pilosa (Nutt.) Eiten","OXALIDACEAE","Oxalis","albicans","ssp. pilosa",0.00,0.00,0.00,0.00,"Oxalis albicans ssp. pilosa"
3807,"Oxalis corniculata L.","Oxalis corniculata L.","OXALIDACEAE","Oxalis","corniculata",,0.00,0.00,0.00,0.00,"Oxalis corniculata "
3808,"Oxalis hirta L.","Oxalis hirta L.","OXALIDACEAE","Oxalis","hirta",,0.00,0.00,0.00,0.00,"Oxalis hirta "
3809,"Oxalis latifolia Kunth","Oxalis latifolia Kunth","OXALIDACEAE","Oxalis","latifolia",,0.00,0.00,0.00,0.00,"Oxalis latifolia "
3810,"Oxalis oregana Nutt.","Oxalis oregana Nutt.","OXALIDACEAE","Oxalis","oregana",,0.00,0.00,0.00,0.00,"Oxalis oregana "
3811,"Oxalis rubra A. St. Hil.","Oxalis rubra A. St. Hil.","OXALIDACEAE","Oxalis","rubra",,0.00,0.00,0.00,0.00,"Oxalis rubra "
3812,"Oxalis trilliifolia Hook.","Oxalis trilliifolia Hook.","OXALIDACEAE","Oxalis","trilliifolia",,0.00,0.00,0.00,0.00,"Oxalis trilliifolia "
3813,"Paeonia brownii Hook.","Paeonia brownii Hook.","PAEONIACEAE","Paeonia","brownii",,0.00,0.00,0.00,0.00,"Paeonia brownii "
3814,"Argemone munita Durand & Hilg.","Argemone munita Durand & Hilg.","PAPAVERACEAE","Argemone","munita",,0.00,0.00,0.00,0.00,"Argemone munita "
3815,"Corydalis caseana A. Gray ssp. caseana","Corydalis caseana A. Gray subsp. caseana","PAPAVERACEAE","Corydalis","caseana","ssp. caseana",0.00,0.00,0.00,0.00,"Corydalis caseana ssp. caseana"
3816,"Dendromecon harfordii Kellogg","Dendromecon harfordii Kellogg","PAPAVERACEAE","Dendromecon","harfordii",,0.00,0.00,0.00,0.00,"Dendromecon harfordii "
3817,"Dicentra ochroleuca Engelm.","Dicentra ochroleuca Engelm.","PAPAVERACEAE","Dicentra","ochroleuca",,0.00,0.00,0.00,0.00,"Dicentra ochroleuca "
3818,"Dicentra uniflora Kellogg","Dicentra uniflora Kellogg","PAPAVERACEAE","Dicentra","uniflora",,0.00,0.00,0.00,0.00,"Dicentra uniflora "
3819,"Eschscholzia lemmonii E. Greene ssp. lemmonii","Eschscholzia lemmonii Greene subsp. lemmonii","PAPAVERACEAE","Eschscholzia","lemmonii","ssp. lemmonii",0.00,0.00,0.00,0.00,"Eschscholzia lemmonii ssp. lemmonii"
3820,"Eschscholzia lemmonii E. Greene","Eschscholzia lemmonii Greene","PAPAVERACEAE","Eschscholzia","lemmonii",,0.00,0.00,0.00,0.00,"Eschscholzia lemmonii "
3821,"Eschscholzia ramosa E. Greene","Eschscholzia ramosa Greene","PAPAVERACEAE","Eschscholzia","ramosa",,0.00,0.00,0.00,0.00,"Eschscholzia ramosa "
3822,"Eschscholzia rhombipetala E. Greene","Eschscholzia rhombipetala Greene","PAPAVERACEAE","Eschscholzia","rhombipetala",,0.00,0.00,0.00,0.00,"Eschscholzia rhombipetala "
3823,"Meconella denticulata E. Greene","Meconella denticulata Greene","PAPAVERACEAE","Meconella","denticulata",,0.00,0.00,0.00,0.00,"Meconella denticulata "
3824,"Meconella linearis (Benth.) Nelson & J.F. Macbr.","Meconella linearis (Benth.) A. Nelson & J. F. Macbr.","PAPAVERACEAE","Meconella","linearis",,0.00,0.00,0.00,0.00,"Meconella linearis "
3825,"Papaver californicum A. Gray","Papaver californicum A. Gray","PAPAVERACEAE","Papaver","californicum",,0.00,0.00,0.00,0.00,"Papaver californicum "
3826,"Romneya coulteri Harvey","Romneya coulteri Harv.","PAPAVERACEAE","Romneya","coulteri",,0.00,0.00,0.00,0.00,"Romneya coulteri "
3827,"Stylomecon heterophylla (Benth.) G.C. Taylor","Stylomecon heterophylla (Benth.) G. C. Taylor","PAPAVERACEAE","Stylomecon","heterophylla",,0.00,0.00,0.00,0.00,"Stylomecon heterophylla "
3828,"Carpenteria californica Torrey","Carpenteria californica Torr.","PHILADELPHACEAE","Carpenteria","californica",,0.00,0.00,0.00,0.00,"Carpenteria californica "
3829,"Phytolacca americana L.","Phytolacca americana L.","PHYTOLACCACEAE","Phytolacca","americana",,0.00,0.00,0.00,0.00,"Phytolacca americana "
3830,"Abies amabilis (Douglas) James Forbes","Abies amabilis (Douglas) J. Forbes","PINACEAE","Abies","amabilis",,0.00,0.00,0.00,0.00,"Abies amabilis "
3831,"Abies bracteata (D. Don) Nutt.","Abies bracteata (D. Don) Nutt.","PINACEAE","Abies","bracteata",,0.00,0.00,0.00,0.00,"Abies bracteata "
3832,"Abies grandis (Douglas) Lindley","Abies grandis (Douglas) Lindl.","PINACEAE","Abies","grandis",,0.00,0.00,0.00,0.00,"Abies grandis "
3833,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","PINACEAE","Abies","lasiocarpa","var. lasiocarpa",0.00,0.00,0.00,0.00,"Abies lasiocarpa var. lasiocarpa"
3834,"Abies magnifica Andr. Murray var. magnifica","Abies magnifica A. Murray bis var. magnifica","PINACEAE","Abies","magnifica","var. magnifica",0.00,0.00,0.00,0.00,"Abies magnifica var. magnifica"
3835,"Abies magnifica Andr. Murray var. shastensis Lemmon","Abies magnifica A. Murray bis var. shastensis Lemmon","PINACEAE","Abies","magnifica","var. shastensis",0.00,0.00,0.00,0.00,"Abies magnifica var. shastensis"
3836,"Abies procera Rehder","Abies procera Rehder","PINACEAE","Abies","procera",,0.00,0.00,0.00,0.00,"Abies procera "
3837,"Picea engelmannii Engelm.","Picea engelmannii Engelm.","PINACEAE","Picea","engelmannii",,0.00,0.00,0.00,0.00,"Picea engelmannii "
3838,"Pinus balfouriana Grev. & Balf.","Pinus balfouriana Grev. & Balf.","PINACEAE","Pinus","balfouriana",,0.00,0.00,0.00,0.00,"Pinus balfouriana "
3839,"Pinus contorta Loudon","Pinus contorta Loudon","PINACEAE","Pinus","contorta",,0.00,0.00,0.00,0.00,"Pinus contorta "
3840,"Pinus contorta Loudon ssp. murrayana (Grev. & Balf.) Critchf.","Pinus contorta Loudon subsp. murrayana (Grev. & Balf.) Critchf.","PINACEAE","Pinus","contorta","ssp. murrayana",0.00,0.00,0.00,0.00,"Pinus contorta ssp. murrayana"
3841,"Pinus muricata D. Don","Pinus muricata D. Don","PINACEAE","Pinus","muricata",,0.00,0.00,0.00,0.00,"Pinus muricata "
3842,"Pinus washoensis H. Mason & Stockw.","Pinus washoensis H. Mason & Stockw.","PINACEAE","Pinus","washoensis",,0.00,0.00,0.00,0.00,"Pinus washoensis "
3843,"Pseudotsuga macrocarpa (Vasey) Mayr","Pseudotsuga macrocarpa (Vasey) Mayr","PINACEAE","Pseudotsuga","macrocarpa",,0.00,0.00,0.00,0.00,"Pseudotsuga macrocarpa "
3844,"Tsuga heterophylla (Raf.) Sarg.","Tsuga heterophylla (Raf.) Sarg.","PINACEAE","Tsuga","heterophylla",,0.00,0.00,0.00,0.00,"Tsuga heterophylla "
3845,"Pittosporum crassifolium Cunn.","Pittosporum crassifolium Banks & Sol.","PITTOSPORACEAE","Pittosporum","crassifolium",,0.00,0.00,0.00,0.00,"Pittosporum crassifolium "
3846,"Pittosporum tenuifolium Gaertner","Pittosporum tenuifolium Gaertn.","PITTOSPORACEAE","Pittosporum","tenuifolium",,0.00,0.00,0.00,0.00,"Pittosporum tenuifolium "
3847,"Pittosporum undulatum Vent.","Pittosporum undulatum Vent.","PITTOSPORACEAE","Pittosporum","undulatum",,0.00,0.00,0.00,0.00,"Pittosporum undulatum "
3848,"Sollya heterophylla Lindley","Sollya heterophylla Lindl.","PITTOSPORACEAE","Sollya","heterophylla",,0.00,0.00,0.00,0.00,"Sollya heterophylla "
3849,"Plantago coronopus L.","Plantago coronopus L.","PLANTAGINACEAE","Plantago","coronopus",,0.00,0.00,0.00,0.00,"Plantago coronopus "
3850,"Plantago elongata Pursh","Plantago elongata Pursh","PLANTAGINACEAE","Plantago","elongata",,0.00,0.00,0.00,0.00,"Plantago elongata "
3851,"Plantago eriopoda Torrey","Plantago eriopoda Torr.","PLANTAGINACEAE","Plantago","eriopoda",,0.00,0.00,0.00,0.00,"Plantago eriopoda "
3852,"Plantago maritima L.","Plantago maritima L.","PLANTAGINACEAE","Plantago","maritima",,0.00,0.00,0.00,0.00,"Plantago maritima "
3853,"Plantago ovata Forsskal","Plantago ovata Forssk.","PLANTAGINACEAE","Plantago","ovata",,0.00,0.00,0.00,0.00,"Plantago ovata "
3854,"Plantago subnuda Pilger","Plantago subnuda Pilg.","PLANTAGINACEAE","Plantago","subnuda",,0.00,0.00,0.00,0.00,"Plantago subnuda "
3855,"Plantago truncata Cham. ssp. firma (Kunze) Pilger","Plantago truncata Cham. subsp. firma (Kunze) Pilg.","PLANTAGINACEAE","Plantago","truncata","ssp. firma",0.00,0.00,0.00,0.00,"Plantago truncata ssp. firma"
3856,"Platanus racemosa Nutt.","Platanus racemosa Nutt.","PLATANACEAE","Platanus","racemosa",,0.00,0.00,0.00,0.00,"Platanus racemosa "
3857,"Armeria maritima (Miller) Willd. ssp. californica (Boiss.) Pors.","Armeria maritima (Mill.) Willd. subsp. californica (Boiss.) A. E. Porsild","PLUMBAGINACEAE","Armeria","maritima","ssp. californica",0.00,0.00,0.00,0.00,"Armeria maritima ssp. californica"
3858,"Limonium californicum (Boiss.) A.A. Heller","Limonium californicum (Boiss.) A. Heller","PLUMBAGINACEAE","Limonium","californicum",,0.00,0.00,0.00,0.00,"Limonium californicum "
3859,"Limonium sinuatum (L.) Miller","Limonium sinuatum (L.) Mill.","PLUMBAGINACEAE","Limonium","sinuatum",,0.00,0.00,0.00,0.00,"Limonium sinuatum "
3860,"Achnatherum coronatum (Thurber) Barkworth","Achnatherum coronatum (Thurb.) Barkworth","POACEAE","Achnatherum","coronatum",,0.00,0.00,0.00,0.00,"Achnatherum coronatum "
3861,"Achnatherum diegoense (Swallen) Barkworth","Achnatherum diegoense (Swallen) Barkworth","POACEAE","Achnatherum","diegoense",,0.00,0.00,0.00,0.00,"Achnatherum diegoense "
3862,"Achnatherum hymenoides (Roemer & Schultes) Barkworth","Achnatherum hymenoides (Roem. & Schult.) Barkworth","POACEAE","Achnatherum","hymenoides",,0.00,0.00,0.00,0.00,"Achnatherum hymenoides "
3863,"Achnatherum latiglumis (Swallen) Barkworth","Achnatherum latiglume (Swallen) Barkworth","POACEAE","Achnatherum","latiglume",,0.00,0.00,0.00,0.00,"Achnatherum latiglume "
3864,"Achnatherum lemmonii (Vasey) Barkworth","Achnatherum lemmonii (Vasey) Barkworth subsp. lemmonii","POACEAE","Achnatherum","lemmonii","ssp. lemmonii",0.00,0.00,0.00,0.00,"Achnatherum lemmonii ssp. lemmonii"
3865,"Achnatherum occidentale (Thurber) Barkworth ssp. californicum (Merr. & Burtt Davy) Barkworth","Achnatherum occidentale (Thurb.) Barkworth subsp. californicum (Merr. & Burtt Davy ex H. M. Hall) Barkworth","POACEAE","Achnatherum","occidentale","ssp. californicum",0.00,0.00,0.00,0.00,"Achnatherum occidentale ssp. californicum"
3866,"Achnatherum occidentale (Thurber) Barkworth ssp. occidentale","Achnatherum occidentale (Thurb.) Barkworth subsp. occidentale","POACEAE","Achnatherum","occidentale","ssp. occidentale",0.00,0.00,0.00,0.00,"Achnatherum occidentale ssp. occidentale"
3867,"Achnatherum occidentale (Thurber) Barkworth ssp. pubescens (Vasey) Barkworth","Achnatherum occidentale (Thurb.) Barkworth subsp. pubescens (Vasey) Barkworth","POACEAE","Achnatherum","occidentale","ssp. pubescens",0.00,0.00,0.00,0.00,"Achnatherum occidentale ssp. pubescens"
3868,"Achnatherum parishii (Vasey) Barkworth","Achnatherum parishii (Vasey) Barkworth","POACEAE","Achnatherum","parishii",,0.00,0.00,0.00,0.00,"Achnatherum parishii "
3869,"Achnatherum pinetorum (M.E. Jones) Barkworth","Achnatherum pinetorum (M. E. Jones) Barkworth","POACEAE","Achnatherum","pinetorum",,0.00,0.00,0.00,0.00,"Achnatherum pinetorum "
3870,"Achnatherum speciosum (Trin. & Rupr.) Barkworth","Achnatherum speciosum (Trin. & Rupr.) Barkworth","POACEAE","Achnatherum","speciosum",,0.00,0.00,0.00,0.00,"Achnatherum speciosum "
3871,"Achnatherum thurberianum (Piper) Barkworth","Achnatherum thurberianum (Piper) Barkworth","POACEAE","Achnatherum","thurberianum",,0.00,0.00,0.00,0.00,"Achnatherum thurberianum "
3872,"Achnatherum webberi (Thurber) Barkworth","Achnatherum webberi (Thurb.) Barkworth","POACEAE","Achnatherum","webberi",,0.00,0.00,0.00,0.00,"Achnatherum webberi "
3873,"Aegilops ovata L.","Aegilops ovata L.","POACEAE","Aegilops","ovata",,0.00,0.00,0.00,0.00,"Aegilops ovata "
3874,"Agropyron desertorum (Fischer) Schultes","Agropyron desertorum (Fisch.) Schult.","POACEAE","Agropyron","desertorum",,0.00,0.00,0.00,0.00,"Agropyron desertorum "
3875,"Agrostis avenacea Gmelin","Agrostis avenacea J. F. Gmel.","POACEAE","Agrostis","avenacea",,0.00,0.00,0.00,0.00,"Agrostis avenacea "
3876,"Agrostis blasdalei A. Hitchc.","Agrostis blasdalei Hitchc.","POACEAE","Agrostis","blasdalei",,0.00,0.00,0.00,0.00,"Agrostis blasdalei "
3877,"Agrostis densiflora Vasey","Agrostis densiflora Vasey","POACEAE","Agrostis","densiflora",,0.00,0.00,0.00,0.00,"Agrostis densiflora "
3878,"Agrostis elliottiana Schultes","Agrostis elliottiana Schult.","POACEAE","Agrostis","elliottiana",,0.00,0.00,0.00,0.00,"Agrostis elliottiana "
3879,"Agrostis exarata Trin.","Agrostis exarata Trin.","POACEAE","Agrostis","exarata",,0.00,0.00,0.00,0.00,"Agrostis exarata "
3880,"Agrostis gigantea Roth","Agrostis gigantea Roth","POACEAE","Agrostis","gigantea",,0.00,0.00,0.00,0.00,"Agrostis gigantea "
3881,"Agrostis hendersonii A. Hitchc.","Agrostis hendersonii Hitchc.","POACEAE","Agrostis","hendersonii",,0.00,0.00,0.00,0.00,"Agrostis hendersonii "
3882,"Agrostis hooveri Swallen","Agrostis hooveri Swallen","POACEAE","Agrostis","hooveri",,0.00,0.00,0.00,0.00,"Agrostis hooveri "
3883,"Agrostis idahoensis Nash","Agrostis idahoensis Nash","POACEAE","Agrostis","idahoensis",,0.00,0.00,0.00,0.00,"Agrostis idahoensis "
3884,"Agrostis oregonensis Vasey","Agrostis oregonensis Vasey","POACEAE","Agrostis","oregonensis",,0.00,0.00,0.00,0.00,"Agrostis oregonensis "
3885,"Agrostis scabra Willd.","Agrostis scabra Willd.","POACEAE","Agrostis","scabra",,0.00,0.00,0.00,0.00,"Agrostis scabra "
3886,"Agrostis thurberiana A. Hitchc.","Agrostis thurberiana Hitchc.","POACEAE","Agrostis","thurberiana",,0.00,0.00,0.00,0.00,"Agrostis thurberiana "
3887,"Agrostis variabilis Rydb.","Agrostis variabilis Rydb.","POACEAE","Agrostis","variabilis",,0.00,0.00,0.00,0.00,"Agrostis variabilis "
3888,"Aira elegantissima Schur","Aira elegantissima Schur","POACEAE","Aira","elegantissima",,0.00,0.00,0.00,0.00,"Aira elegantissima "
3889,"Aira praecox L.","Aira praecox L.","POACEAE","Aira","praecox",,0.00,0.00,0.00,0.00,"Aira praecox "
3890,"Alopecurus aequalis Sobol.","Alopecurus aequalis Sobol.","POACEAE","Alopecurus","aequalis",,0.00,0.00,0.00,0.00,"Alopecurus aequalis "
3891,"Alopecurus carolinianus Walt.","Alopecurus carolinianus Walter","POACEAE","Alopecurus","carolinianus",,0.00,0.00,0.00,0.00,"Alopecurus carolinianus "
3892,"Alopecurus geniculatus L.","Alopecurus geniculatus L.","POACEAE","Alopecurus","geniculatus",,0.00,0.00,0.00,0.00,"Alopecurus geniculatus "
3893,"Alopecurus pratensis L.","Alopecurus pratensis L.","POACEAE","Alopecurus","pratensis",,0.00,0.00,0.00,0.00,"Alopecurus pratensis "
3894,"Alopecurus saccatus Vasey","Alopecurus saccatus Vasey","POACEAE","Alopecurus","saccatus",,0.00,0.00,0.00,0.00,"Alopecurus saccatus "
3895,"Ammophila arenaria (L.) Link","Ammophila arenaria (L.) Link","POACEAE","Ammophila","arenaria",,0.00,0.00,0.00,0.00,"Ammophila arenaria "
3896,"Andropogon glomeratus (Walt.) Britton, Sterns & Pogg. var. scabriglumis C.S. Campbell","Andropogon glomeratus (Walter) Britton, Sterns, & Poggenb. var. scabriglumis C. S. Campb.","POACEAE","Andropogon","glomeratus","var. scabriglumis",0.00,0.00,0.00,0.00,"Andropogon glomeratus var. scabriglumis"
3897,"Andropogon virginicus L. var. virginicus","Andropogon virginicus L. var. virginicus","POACEAE","Andropogon","virginicus","var. virginicus",0.00,0.00,0.00,0.00,"Andropogon virginicus var. virginicus"
3898,"Anthoxanthum aristatum Boiss.","Anthoxanthum aristatum Boiss.","POACEAE","Anthoxanthum","aristatum",,0.00,0.00,0.00,0.00,"Anthoxanthum aristatum "
3899,"Apera spica-venti (L.) Beauv.","Apera spica-venti (L.) P. Beauv.","POACEAE","Apera","spica-venti",,0.00,0.00,0.00,0.00,"Apera spica-venti "
3900,"Aristida adscensionis L.","Aristida adscensionis L.","POACEAE","Aristida","adscensionis",,0.00,0.00,0.00,0.00,"Aristida adscensionis "
3901,"Aristida oligantha Michaux","Aristida oligantha Michx.","POACEAE","Aristida","oligantha",,0.00,0.00,0.00,0.00,"Aristida oligantha "
3902,"Aristida purpurea Nutt.","Aristida purpurea Nutt.","POACEAE","Aristida","purpurea",,0.00,0.00,0.00,0.00,"Aristida purpurea "
3903,"Aristida ternipes Cav. var. hamulosa (Henrad) J.S. Trent","Aristida ternipes Cav. var. hamulosa (Henrard) Trent","POACEAE","Aristida","ternipes","var. hamulosa",0.00,0.00,0.00,0.00,"Aristida ternipes var. hamulosa"
3904,"Avena sterilis L.","Avena sterilis L.","POACEAE","Avena","sterilis",,0.00,0.00,0.00,0.00,"Avena sterilis "
3905,"Beckmannia syzigachne (Steudel) Fern.","Beckmannia syzigachne (Steud.) Fernald","POACEAE","Beckmannia","syzigachne",,0.00,0.00,0.00,0.00,"Beckmannia syzigachne "
3906,"Bouteloua barbata Lagasca var. barbata","Bouteloua barbata Lag. var. barbata","POACEAE","Bouteloua","barbata","var. barbata",0.00,0.00,0.00,0.00,"Bouteloua barbata var. barbata"
3907,"Briza maxima L.","Briza maxima L.","POACEAE","Briza","maxima",,0.00,0.00,0.00,0.00,"Briza maxima "
3908,"Bromus arizonicus (Shear) Stebb.","Bromus arizonicus (Shear) Stebbins","POACEAE","Bromus","arizonicus",,0.00,0.00,0.00,0.00,"Bromus arizonicus "
3909,"Bromus carinatus Hook. & Arn. var. carinatus","Bromus carinatus Hook. & Arn. var. carinatus","POACEAE","Bromus","carinatus","var. carinatus",0.00,0.00,0.00,0.00,"Bromus carinatus var. carinatus"
3910,"Bromus carinatus Hook. & Arn. var. maritimus (Piper) C. Hitchc.","Bromus carinatus Hook. & Arn. var. maritimus (Piper) C. L. Hitchc.","POACEAE","Bromus","carinatus","var. maritimus",0.00,0.00,0.00,0.00,"Bromus carinatus var. maritimus"
3911,"Bromus catharticus Vahl","Bromus catharticus J. Vahl","POACEAE","Bromus","catharticus",,0.00,0.00,0.00,0.00,"Bromus catharticus "
3912,"Bromus grandis (Shear) A. Hitchc.","Bromus grandis (Shear) Hitchc.","POACEAE","Bromus","grandis",,0.00,0.00,0.00,0.00,"Bromus grandis "
3913,"Bromus japonicus Murr.","Bromus japonicus Murray","POACEAE","Bromus","japonicus",,0.00,0.00,0.00,0.00,"Bromus japonicus "
3914,"Bromus madritensis L. ssp. madritensis","Bromus madritensis L. subsp. madritensis","POACEAE","Bromus","madritensis","ssp. madritensis",0.00,0.00,0.00,0.00,"Bromus madritensis ssp. madritensis"
3915,"Bromus madritensis L. ssp. rubens (L.) Husnot","Bromus madritensis L. subsp. rubens (L.) Husn.","POACEAE","Bromus","madritensis","ssp. rubens",0.00,0.00,0.00,0.00,"Bromus madritensis ssp. rubens"
3916,"Bromus sterilis L.","Bromus sterilis L.","POACEAE","Bromus","sterilis",,0.00,0.00,0.00,0.00,"Bromus sterilis "
3917,"Bromus suksdorfii Vasey","Bromus suksdorfii Vasey","POACEAE","Bromus","suksdorfii",,0.00,0.00,0.00,0.00,"Bromus suksdorfii "
3918,"Bromus vulgaris (Hook.) Shear","Bromus vulgaris (Hook.) Shear","POACEAE","Bromus","vulgaris",,0.00,0.00,0.00,0.00,"Bromus vulgaris "
3919,"Calamagrostis breweri Thurber","Calamagrostis breweri Thurb.","POACEAE","Calamagrostis","breweri",,0.00,0.00,0.00,0.00,"Calamagrostis breweri "
3920,"Calamagrostis canadensis (Michaux) Beauv.","Calamagrostis canadensis (Michx.) P. Beauv.","POACEAE","Calamagrostis","canadensis",,0.00,0.00,0.00,0.00,"Calamagrostis canadensis "
3921,"Calamagrostis nutkaensis (J. Presl) Steudel","Calamagrostis nutkaensis (C. Presl) Steud.","POACEAE","Calamagrostis","nutkaensis",,0.00,0.00,0.00,0.00,"Calamagrostis nutkaensis "
3922,"Calamagrostis rubescens Buckley","Calamagrostis rubescens Buckley","POACEAE","Calamagrostis","rubescens",,0.00,0.00,0.00,0.00,"Calamagrostis rubescens "
3923,"Calamagrostis stricta (Timm) Koeler ssp. stricta","Calamagrostis stricta (Timm) Koeler subsp. stricta","POACEAE","Calamagrostis","stricta","ssp. stricta",0.00,0.00,0.00,0.00,"Calamagrostis stricta ssp. stricta"
3924,"Cenchrus incertus M. Curtis","Cenchrus incertus M. A. Curtis","POACEAE","Cenchrus","incertus",,0.00,0.00,0.00,0.00,"Cenchrus incertus "
3925,"Cenchrus longispinus (Hackel) Fern.","Cenchrus longispinus (Hack.) Fernald","POACEAE","Cenchrus","longispinus",,0.00,0.00,0.00,0.00,"Cenchrus longispinus "
3926,"Chloris verticillata Nutt.","Chloris verticillata Nutt.","POACEAE","Chloris","verticillata",,0.00,0.00,0.00,0.00,"Chloris verticillata "
3927,"Chloris virgata Sw.","Chloris virgata Sw.","POACEAE","Chloris","virgata",,0.00,0.00,0.00,0.00,"Chloris virgata "
3928,"Cinna latifolia (Goeppert) Griseb.","Cinna latifolia (Goepp.) Griseb.","POACEAE","Cinna","latifolia",,0.00,0.00,0.00,0.00,"Cinna latifolia "
3929,"Cortaderia selloana (Schultes) Asch. & Graebner","Cortaderia selloana (Schult. & Schult. f.) Asch. & Graebn.","POACEAE","Cortaderia","selloana",,0.00,0.00,0.00,0.00,"Cortaderia selloana "
3930,"Crypsis alopecuroides (Piller & Mitterp.) Schrader","Crypsis alopecuroides (Piller & Mitterp.) Schrad.","POACEAE","Crypsis","alopecuroides",,0.00,0.00,0.00,0.00,"Crypsis alopecuroides "
3931,"Crypsis schoenoides (L.) Lam.","Crypsis schoenoides (L.) Lam.","POACEAE","Crypsis","schoenoides",,0.00,0.00,0.00,0.00,"Crypsis schoenoides "
3932,"Crypsis vaginiflora (Forsskal) Opiz","Crypsis vaginiflora (Forssk.) Opiz","POACEAE","Crypsis","vaginiflora",,0.00,0.00,0.00,0.00,"Crypsis vaginiflora "
3933,"Cynodon plectostachyus (K. Schum.) Pilger","Cynodon plectostachyus (K. Schum.) Pilg. in Engl.","POACEAE","Cynodon","plectostachyus",,0.00,0.00,0.00,0.00,"Cynodon plectostachyus "
3934,"Cynosurus cristatus L.","Cynosurus cristatus L.","POACEAE","Cynosurus","cristatus",,0.00,0.00,0.00,0.00,"Cynosurus cristatus "
3935,"Danthonia californica Bolander var. americana (Scribner) A. Hitchc.","Danthonia californica Bol. var. americana (Scribn.) Hitchc.","POACEAE","Danthonia","californica","var. americana",0.00,0.00,0.00,0.00,"Danthonia californica var. americana"
3936,"Danthonia californica Bolander","Danthonia californica Bol.","POACEAE","Danthonia","californica",,0.00,0.00,0.00,0.00,"Danthonia californica "
3937,"Danthonia intermedia Vasey","Danthonia intermedia Vasey","POACEAE","Danthonia","intermedia",,0.00,0.00,0.00,0.00,"Danthonia intermedia "
3938,"Deschampsia atropurpurea (Wahlenb.) Scheele","Deschampsia atropurpurea (Wahlenb.) Scheele","POACEAE","Deschampsia","atropurpurea",,0.00,0.00,0.00,0.00,"Deschampsia atropurpurea "
3939,"Deschampsia cespitosa (L.) Beauv. ssp. cespitosa","Deschampsia cespitosa (L.) P. Beauv. subsp. cespitosa","POACEAE","Deschampsia","cespitosa","ssp. cespitosa",0.00,0.00,0.00,0.00,"Deschampsia cespitosa ssp. cespitosa"
3940,"Deschampsia cespitosa (L.) Beauv. ssp. holciformis (C. Presl) W.E. Lawr.","Deschampsia cespitosa (L.) P. Beauv. subsp. holciformis (C. Presl) W. E. Lawr.","POACEAE","Deschampsia","cespitosa","ssp. holciformis",0.00,0.00,0.00,0.00,"Deschampsia cespitosa ssp. holciformis"
3941,"Deschampsia cespitosa (L.) Beauv.","Deschampsia cespitosa (L.) P. Beauv.","POACEAE","Deschampsia","cespitosa",,0.00,0.00,0.00,0.00,"Deschampsia cespitosa "
3942,"Desmazeria rigida (L.) Tutin","Desmazeria rigida (L.) Tutin","POACEAE","Desmazeria","rigida",,0.00,0.00,0.00,0.00,"Desmazeria rigida "
3943,"Digitaria ischaemum (Schreber) Muhlenb.","Digitaria ischaemum (Schreb.) Muhl.","POACEAE","Digitaria","ischaemum",,0.00,0.00,0.00,0.00,"Digitaria ischaemum "
3944,"Distichlis spicata (L.) E. Greene","Distichlis spicata (L.) Greene","POACEAE","Distichlis","spicata",,0.00,0.00,0.00,0.00,"Distichlis spicata "
3945,"Echinochloa crus-pavonis (Kunth) Schultes","Echinochloa crus-pavonis (Kunth) Schult.","POACEAE","Echinochloa","crus-pavonis",,0.00,0.00,0.00,0.00,"Echinochloa crus-pavonis "
3946,"Echinochloa muricata (P. Beauv.) Fern.","Echinochloa muricata (P. Beauv.) Fernald","POACEAE","Echinochloa","muricata",,0.00,0.00,0.00,0.00,"Echinochloa muricata "
3947,"Ehrharta calycina Smith","Ehrharta calycina Sm.","POACEAE","Ehrharta","calycina",,0.00,0.00,0.00,0.00,"Ehrharta calycina "
3948,"Ehrharta erecta Lam.","Ehrharta erecta Lam.","POACEAE","Ehrharta","erecta",,0.00,0.00,0.00,0.00,"Ehrharta erecta "
3949,"Elymus californicus (Bolander) Gould","Elymus californicus (Bol.) Gould","POACEAE","Elymus","californicus",,0.00,0.00,0.00,0.00,"Elymus californicus "
3950,"Elymus canadensis L.","Elymus canadensis L.","POACEAE","Elymus","canadensis",,0.00,0.00,0.00,0.00,"Elymus canadensis "
3951,"Elymus elymoides (Raf.) Swezey ssp. californicus (J.G. Smith) Barkworth","Elymus elymoides (Raf.) Swezey subsp. californicus (J. G. Sm.) Barkworth","POACEAE","Elymus","elymoides","ssp. californicus",0.00,0.00,0.00,0.00,"Elymus elymoides ssp. californicus"
3952,"Elymus glaucus Buckley ssp. glaucus","Elymus glaucus Buckley subsp. glaucus","POACEAE","Elymus","glaucus","ssp. glaucus",0.00,0.00,0.00,0.00,"Elymus glaucus ssp. glaucus"
