id,seed_mass_g
Acalypha_peduncularis,12.69
Acalypha_phleoides,0.8
Acalypha_rhomboidea,0.7
Acalypha_skutchii,4
Acalypha_virginica,0.635
Acamptopappus_shockleyi,1.4
Acamptopappus_sphaerocephalus,1.23
Acamptopappus_sphaerocephalus,1.31
Acanthephippium_sylhetense,0
Acanthocarpus_preissii,53.58
Acantholippia_seriphioides,0.25
Acantholippia_trifida,0.32
Acanthopsis_disperma,29.35
Acanthosicyos_horridus,263.26
Acanthosicyos_naudinianus,105.97
Acanthospermum_australe,11.06
Acanthospermum_hispidum,7.41
Acanthus_hirsutus,135.2
Acanthus_mollis,208
Acanthus_pubescens,45.18
Acanthus_syriacus,223.2
Acca_sellowiana,1.74
Acer_acuminatum,44.86
Acer_aff.,18
Acer_albo-purpurascens,9.44
Acer_amoenum,23
Acer_argutum,18.8
Acer_barbinerve,57.24
Acer_buergerianum,11
Acer_caesium,157.2
Acer_campbellii,454.55
Acer_campestre,122.4
Acer_cappadocicum,84.2
Acer_carpinifolium,16
Acer_caudatifolium,19.57
Acer_caudatum,9.47
Acer_circinatum,75.7
Acer_cissifolium,24.7
Acer_coriaceum,20
Acer_crataegifolium,18.39
Acer_davidii,26
Acer_diabolicum,39.06
Acer_distylum,41.84
Acer_fraxinifolium,50
Acer_ginnala,27.22
Acer_glabrum,37.4
Acer_glabrum,42.12
Acer_grandidentatum,71.42
Acer_heldreichii,223
Acer_henryi,19.38
Acer_hispanicum,54
Acer_hyrcanum,35
Acer_ibericum,32.07
Acer_japonicum,50.6
Acer_laevigatum,42
Acer_lobelii,147
Acer_macrophyllum,137.2
Acer_maximowiczianum,262
Acer_micranthum,20.28
Acer_miyabei,38
Acer_mono,78
Acer_monspessulanum,46.08
Acer_negundo,15.7
Acer_negundo,28.01
Acer_negundo,36
Acer_nikoense,14.56
Acer_obtusifolium,46.99
Acer_opalus,100
Acer_orientale,8
Acer_palmatum,12.2
Acer_palmatum,29.67
Acer_palmatum,34.01
Acer_palmatum,38.4
Acer_palmatum,66.7
Acer_pectinatum,12.9
Acer_pensylvanicum,37.3
Acer_pictum,24.04
Acer_pictum,27.4
Acer_platanoides,139
Acer_pseudoplatanus,97
Acer_pseudoplatanus,123.46
Acer_rubrum,13.93
Acer_rubrum,26.5
Acer_rufinerve,26.46
Acer_saccharinum,201.5
Acer_saccharum,55.2
Acer_sieboldianum,65.6
Acer_spicatum,20.2
Acer_sterculiaceum,98
Acer_tataricum,38.5
Acer_tegmentosum,35
Acer_trautvetteri,89
Acer_truncatum,87
Acer_tschonoskii,15.2
Acer_tschonoskii,18.02
Acer_velutinum,125
Acer_zoeschense,61
Aceratium_sericoleopsis,930
Achillea_aegyptiaca,0.1
Achillea_aspleniifolia,0.1
Achillea_biebersteinii,0.13
Achillea_clavennae,0.39
Achillea_clypeolata,0.1
Achillea_collina,0.14
Achillea_distans,0.15
Achillea_falcata,0.3
Achillea_filipendulina,0.1
Achillea_fragrantissima,0.59
Achillea_leptophylla,0.09
Achillea_millefolium,0.2
Achillea_millefolium,0.26
Achillea_moschata,0.28
Achillea_odorata,0.08
